"sample_name","sample_id_PPR","unique_replicate_id","RUSH ID #","batch_id","sample_id","replicate_id","RUSH Project Batch Name","figure","Figure","George Figure number","experiment_type","sampling_device","bar_name","location","environment","extraction_method","control_type","environmental_sample","control_sample","dna_kit","microbial_type","sample_reads","bar_fill","bar_type_2","bar_type","bar_color","bar_axis_2","bar_axis","percent_recovery_dpcr","percent_recovery_qpcr","copies_original_dpcr_log10","copies_original_qpcr_log10","copies_rxn_dpcr_log10","copies_rxn_qpcr_log10","copies_original_dpcr","copies_original_qpcr","copies_rxn_dpcr","copies_rxn_qpcr","16s_rrna_copy_sample","16s_rrna_copy_rxn","cq_se_rxn","cq_sd_rxn","cq_mean_rxn","quantity_sd_ng_rxn","quantity_mean_sample","quantity_mean_ng_rxn","qpcr_volume_ul","dna_eluent_volume_ul","cell_count_estimate","cell_concentration","surface_area_cm2","processing_volume_ul","processing_solution","concentrated","sample_type","extraction_handling","sample_number","date","Total Copies in Orginal Sample (50uL) [dPCR copies*dil*50]","Total Copies in Undiluted Sample (1 µL) [Dil*dPCR Copies]","Final Dilution ","Digital Comments","Copies in Sample [dPCR]","Conversion factor","Total volume [¬µl]","Template volume [¬µl]","Volume per well [¬µl]","Threshold","Partitions (Negative)","Partitions (Positive)","Partitions (Valid)","CI (95%)","Conc. [cp/¬µL] (dPCR reaction)","Exp Type","Cell Count (Cells/50 ¬µL","Sample Description","DNA Qubit (ng/uL)","Project Name ID","Sequencing Name ID ","experiment","table_file","project_name"
"6_245Flc_Ma_L1","267_PPR_6_245Flc_Ma_L1_S209_L002","6-245Flc-Ma-L1","6-245Flc-Ma-L1","batch_6","6_245Flc_Ma_L1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_1","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",2371990,"gray1",NA,NA,NA,NA,NA,NA,NA,3.46089784275655,4.09285876757257,1.76267856372744,2.69491875890054,"2890","12383.937957715842","57.9","495.35751830863364","12383.937957715842","495.35751830863364","5.5399999999999998E-3","9.5899999999999996E-3","30.846499999999999","2.0486778707085765E-6","8.9966721074415217E-3","3.5986688429766084E-4",2,50,"529.21600632008949","NA","25",100,"water","yes","NA","automated",138,2023-12-06,"2890","57.9","1",NA,57.9,6,12,2,2.889,14.75,8230,27,8257,"0.377","9.6",NA,"529.22","Batch #6, 245 Fungal Lab, Cotton, Maxwell, Location 1","2.0000000000000001E-4","267_PPR","267_PPR_6-245Flc-Ma-L1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flc_Ma_L2","268_PPR_6_245Flc_Ma_L2_S210_L002","6-245Flc-Ma-L2","6-245Flc-Ma-L2","batch_6","6_245Flc_Ma_L2","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_2","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",3926848,"gray1",NA,NA,NA,NA,NA,NA,NA,3.59769518592551,4.15500447012098,1.89872518158949,2.75706446144895,"3960","14289.08665955031","79.2","571.56346638201228","14289.08665955031","571.56346638201228","4.7469999999999998E-2","8.2220000000000001E-2","30.606999999999999","1.999552714622307E-5","1.0380722822557021E-2","4.152289129022808E-4",2,50,"610.63075426806006","NA","25",100,"water","yes","NA","automated",139,2023-12-06,"3960","79.2","1",NA,79.2,6,12,2,2.889,14.75,8238,37,8275,"0.32200000000000001","13.2",NA,"610.63","Batch #6, 245 Fungal Lab, Cotton, Maxwell, Location 2","2.0000000000000001E-4","268_PPR","268_PPR_6-245Flc-Ma-L2","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flc_Ma_L3","269_PPR_6_245Flc_Ma_L3_S211_L002","6-245Flc-Ma-L3","6-245Flc-Ma-L3","batch_6","6_245Flc_Ma_L3","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_3","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",1913756,"gray1",NA,NA,NA,NA,NA,NA,NA,3.49415459401844,4.12201819078006,1.79448804665917,2.72407818210802,"3120","13243.970074862385","62.3","529.75880299449534","13243.970074862385","529.75880299449534","3.4020000000000002E-2","5.892E-2","30.734200000000001","1.34352042210004E-5","9.6214674662567171E-3","3.8485869865026868E-4",2,50,"565.96867448568923","NA","25",100,"water","yes","NA","automated",140,2023-12-06,"3120","62.3","1",NA,62.3,6,12,2,2.889,14.75,8208,29,8237,"0.36399999999999999","10.4",NA,"565.97","Batch #6, 245 Fungal Lab, Cotton, Maxwell, Location 3","2.0000000000000001E-4","269_PPR","269_PPR_6-245Flc-Ma-L3","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Ma_L1","270_PPR_6_245Flm_Ma_L1_S212_L002","6-245Flm-Ma-L1","6-245Flm-Ma-L1","batch_6","6_245Flm_Ma_L1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_1","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",3177708,"gray3",NA,NA,NA,NA,NA,NA,NA,3.72916478969277,4.15334199238735,2.03019478535675,2.75540198371531,"5360","14234.49264609921","107.2","569.3797058439684","14234.49264609921","569.3797058439684","0.31533","0.54615999999999998","30.6677","1.2204479624940089E-4","1.034106141277559E-2","4.1364245651102357E-4",2,50,"608.29773016326999","NA","25",100,"water","yes","NA","automated",141,2023-12-06,"5360","107.2","1",NA,107.2,6,12,2,2.889,14.75,8222,50,8272,"0.27700000000000002","17.899999999999999",NA,"608.29999999999995","Batch #6, 245 Fungal Lab, Macrofoam, Maxwell, Location 1","2.0000000000000001E-4","270_PPR","270_PPR_6-245Flm-Ma-L1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Ma_L2","271_PPR_6_245Flm_Ma_L2_S213_L002","6-245Flm-Ma-L2","6-245Flm-Ma-L2","batch_6","6_245Flm_Ma_L2","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_2","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",3431042,"gray3",NA,NA,NA,NA,NA,NA,NA,3.57287160220048,4.21772609010023,1.87390159786446,2.81978608142819,"3740","16509.20233007905","74.8","660.36809320316206","16509.20233007905","660.36809320316206","0.13875999999999999","0.24035000000000001","30.373899999999999","6.6813968083961653E-5","1.1993590457758239E-2","4.7974361831032956E-4",2,50,"705.50532104460228","NA","25",100,"water","yes","NA","automated",142,2023-12-06,"3740","74.8","1",NA,74.8,6,12,2,2.889,14.75,8249,35,8284,"0.33100000000000002","12.5",NA,"705.51","Batch #6, 245 Fungal Lab, Macrofoam, Maxwell, Location 2","2.0000000000000001E-4","271_PPR","271_PPR_6-245Flm-Ma-L2","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Ma_L3","272_PPR_6_245Flm_Ma_L3_S214_L002","6-245Flm-Ma-L3","6-245Flm-Ma-L3","batch_6","6_245Flm_Ma_L3","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_3","fungal_lab_floor","mag_beads","sample","yes","no","maxwell","NA",2389842,"gray3",NA,NA,NA,NA,NA,NA,NA,3.37106786227174,4.44426009727468,1.6730209071289,3.04632008860264,"2350","27813.785258235785","47.1","1112.5514103294315","27813.785258235785","1112.5514103294315","5.9450000000000003E-2","0.10297000000000001","29.486899999999999","4.9157330868048546E-5","2.0206133694268935E-2","8.0824534777075747E-4",2,50,"1188.5960996628785","NA","25",100,"water","yes","NA","automated",143,2023-12-06,"2350","47.1","1",NA,47.1,6,12,2,2.889,14.75,8250,22,8272,"0.41799999999999998","7.8",NA,"1188.5999999999999","Batch #6, 245 Fungal Lab, Macrofoam, Maxwell, Location 3","4.0000000000000002E-4","272_PPR","272_PPR_6-245Flm-Ma-L3","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_NCc_Ma_1","273_PPR_6_NCc_Ma_1_S215_L002","6-NCc-Ma-1","6-NCc-Ma-1","batch_6","6_NCc_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"NA","fungal_lab_floor","mag_beads","reagent_control","yes","yes","maxwell","NA",3187872,"gray1",NA,NA,NA,NA,NA,NA,NA,3.47712125471966,4.25709575958602,1.77815125038364,2.85915575091398,"3000","18075.726420721523","60","723.0290568288608","18075.726420721523","723.0290568288608","3.3279999999999997E-2","5.7639999999999997E-2","30.210699999999999","1.8018009706116508E-5","1.3131637469947713E-2","5.2526549879790849E-4",2,50,"772.44926293810079","NA","NA",100,"water","no","reagent_control","automated",144,2023-12-06,"3000","60","1",NA,60,6,12,2,2.889,14.75,8237,28,8265,"0.37","10",NA,"772.45","Batch #6, Reagent Control, Cotton, Maxwell, Sample 1","2.9999999999999997E-4","273_PPR","273_PPR_6-NCc-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_NCw_Ma_1","274_PPR_6_NCw_Ma_1_S216_L002","6-NCw-Ma-1","6-NCw-Ma-1","batch_6","6_NCw_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","2","2","Figure 2 [Bar 9]","environmental","NA","Water Only","NA","fungal_lab_floor","mag_beads","water_control","yes","yes","maxwell","NA",154,"gray1","Mastermix","Mastermix","Water","Water","Water",NA,NA,0,2.6951311122722,0,1.29719110360017,"0","495.59978839244883","0","19.823991535697949","495.59978839244883","19.823991535697949","0.39934999999999998","0.69169999999999998","36.3611","6.2169528508606014E-6","3.6004288845021469E-4","1.4401715538008588E-5",2,50,"21.178993438247922","NA","NA",100,"water","yes","water_control","automated",146,2023-12-06,"0","0","1",NA,0,6,12,2,2.889,14.75,8246,0,8246,"-","0",NA,"21.18","Batch #6, Negative Control Water, Maxwell, Sample 1","0","274_PPR","274_PPR_6-NCw-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_PCc_Ma_1","275_PPR_6_PCc_Ma_1_S217_L002","6-PCc-Ma-1","6-PCc-Ma-1","batch_6","6_PCc_Ma_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","fungal_lab_floor","mag_beads","positive_control","yes","yes","maxwell","atcc",94763388,NA,NA,NA,NA,NA,NA,NA,NA,7.98811284026835,8.1489536507676,6.28901784111728,6.75101364209556,"97300000","140913840.28462076","1945440.0000000002","5636553.6113848314","140913840.28462076","5636553.6113848314","4.6899999999999997E-2","8.1240000000000007E-2","15.13","0.1953602937267763","102.37095992969176","4.0948383971876705",2,50,"6021821.1723348098","2000000","NA",100,"water","yes","2.00E+6","automated",147,2023-12-06,"97300000","1945440.0000000002","400",NA,4863.6,6,12,2,2.889,14.75,6203,1965,8168,"4.3999999999999997E-2","810.6",NA,"6021821.1699999999","Batch #6, Positive Control (E+06) w/ Centrifugation, Maxwell, Sample 1","2.0474000000000001","275_PPR","275_PPR_6-PCc-Ma-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_PCc_Ma_2","276_PPR_6_PCc_Ma_2_S218_L002","6-PCc-Ma-2","6-PCc-Ma-2","batch_6","6_PCc_Ma_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","fungal_lab_floor","mag_beads","positive_control","yes","yes","maxwell","atcc",66534148,NA,NA,NA,NA,NA,NA,NA,NA,8.25527250510331,8.35067851706184,6.55668957413574,6.9527385083898,"180000000","224222152.31660685","3603209.9999999995","8968886.0926642735","224222152.31660685","8968886.0926642735","8.2869999999999999E-2","0.14352999999999999","14.351100000000001","0.55334231516108123","162.89270751396705","6.515708300558682",2,50,"9581923.9714098275","2000000","NA",100,"water","yes","2.00E+6","automated",148,2023-12-06,"180000000","3603209.9999999995","650",NA,5543.4,6,12,2,2.889,14.75,6012,2215,8227,"4.2000000000000003E-2","923.9",NA,"9581923.9700000007","Batch #6, Positive Control (E+06) w/ Centrifugation, Maxwell, Sample 2","3.2578999999999998","276_PPR","276_PPR_6-PCc-Ma-2","PPR","Merged_Genus_raw_abund.csv","PPR"
