"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"6_245Flc_Ma_L1",2371990,2371990,2371990,2371990
"6_245Flc_Ma_L2",3926848,3926848,3926848,3926848
"6_245Flc_Ma_L3",1913756,1913756,1913756,1913756
"6_245Flm_Ma_L1",3177708,3177708,3177708,3177708
"6_245Flm_Ma_L2",3431042,3431042,3431042,3431042
"6_245Flm_Ma_L3",2389842,2389842,2389842,2389842
"6_NCc_Ma_1",3187872,3187872,3187872,3187872
"6_NCw_Ma_1",154,154,154,154
"6_PCc_Ma_1",94763388,94763388,94763388,94763388
"6_PCc_Ma_2",66534148,66534148,66534148,66534148
"6_245Flc_Qi_L1",10749702,10749702,10749702,10749702
"6_245Flc_Qi_L2",4501074,4501074,4501074,4501074
"6_245Flc_Qi_L3",10965792,10965792,10965792,10965792
"6_245Flm_Qi_L1",7064870,7064870,7064870,7064870
"6_245Flm_Qi_L2",7947212,7947212,7947212,7947212
"6_245Flm_Qi_L3",15465404,15465404,15465404,15465404
"6_NCc_Qi_1",6779004,6779004,6779004,6779004
"6_NCw_Qi_1",1534,1534,1534,1534
"6_PCc_Qi_1",78079872,78079872,78079872,78079872
"6_PCc_Qi_2",101117848,101117848,101117848,101117848
"7_SAFc_Ma_L1",1163688,1163688,1163688,1163688
"7_SAFc_Ma_L2",2146364,2146364,2146364,2146364
"7_SAFc_Ma_L3",885420,885420,885420,885420
"7_SAFc_Ma_L4",4466788,4466788,4466788,4466788
"7_SAFc_Ma_L5",6353288,6353288,6353288,6353288
"7_SAFc_Ma_L6",4472012,4472012,4472012,4472012
"7_SAFc_Ma_L7",4122464,4122464,4122464,4122464
"7_SAFm_Ma_L1",508754,508754,508754,508754
"7_SAFm_Ma_L2",1309140,1309140,1309140,1309140
"7_SAFm_Ma_L3",279006,279006,279006,279006
"7_SAFm_Ma_L4",545646,545646,545646,545646
"7_SAFm_Ma_L5",2682,2682,2682,2682
"7_SAFm_Ma_L6",17148,17148,17148,17148
"7_SAFm_Ma_L7",5552,5552,5552,5552
"7_NCec_Ma_1",912606,912606,912606,912606
"7_NCem_Ma_1",404,404,404,404
"7_NCw_Ma_1",251336,251336,251336,251336
"7_NCw_Ma_2",7084,7084,7084,7084
"7_PCc_Ma_1",25351474,25351474,25351474,25351474
"7_PCc_Ma_2",95032728,95032728,95032728,95032728
"7_SAFp_Ma_L1",12024428,12024428,12024428,12024428
"7_SAFp_Ma_L2",9166366,9166366,9166366,9166366
"7_SAFp_Ma_L3",9615478,9615478,9615478,9615478
"7_SAFp_Ma_L4",7558642,7558642,7558642,7558642
"7_SAFp_Ma_L5",10782826,10782826,10782826,10782826
"7_SAFp_Ma_L6",7936910,7936910,7936910,7936910
"7_SAFp_Ma_L7",8818424,8818424,8818424,8818424
"7_SAFs_Ma_L1",7457012,7457012,7457012,7457012
"7_SAFs_Ma_L2",2705564,2705564,2705564,2705564
"7_SAFs_Ma_L3",850174,850174,850174,850174
"7_SAFs_Ma_L4",6586012,6586012,6586012,6586012
"7_SAFs_Ma_L5",8857624,8857624,8857624,8857624
"7_SAFs_Ma_L6",6689708,6689708,6689708,6689708
"7_SAFs_Ma_L7",7857414,7857414,7857414,7857414
"7_NCep_Ma_1",1552712,1552712,1552712,1552712
"7_NCes_Ma_1",1111486,1111486,1111486,1111486
"7_NCp_Ma_1",3252024,3252024,3252024,3252024
"7_NCs_Ma_1",3979962,3979962,3979962,3979962
"7_PCc_Ma_3",122310660,122310660,122310660,122310660
"7_PCc_Ma_4",108204276,108204276,108204276,108204276
"7_PCw_Ma_3",60781276,60781276,60781276,60781276
"7_PCw_Ma_4",105210770,105210770,105210770,105210770
"9_245CRp_Ma_L1_1",32993638,32993638,32993638,32993638
"9_245CRp_Ma_L1_2",23218410,23218410,23218410,23218410
"9_245CRp_Ma_L2_1",23721152,23721152,23721152,23721152
"9_245CRp_Ma_L2_2",31575466,31575466,31575466,31575466
"9_245CRp_Ma_L3_1",31665270,31665270,31665270,31665270
"9_245CRp_Ma_L3_2",23595616,23595616,23595616,23595616
"9_245CRs_Ma_L1_1",9862482,9862482,9862482,9862482
"9_245CRs_Ma_L1_2",10275910,10275910,10275910,10275910
"9_245CRs_Ma_L2_1",11538800,11538800,11538800,11538800
"9_245CRs_Ma_L2_2",9596408,9596408,9596408,9596408
"9_245CRs_Ma_L3_1",3683736,3683736,3683736,3683736
"9_245CRs_Ma_L3_2",5640342,5640342,5640342,5640342
"9_NCp_Ma_1",768,768,768,768
"9_NCp_Ma_2",600,600,600,600
"9_NCs_Ma_1",198,198,198,198
"9_NCs_Ma_2",68,68,68,68
"9_NCw_Ma_1",568080,568080,568080,568080
"9_NCw_Ma_2",177836,177836,177836,177836
"9_PCc_900_Ma_1",28221508,28221508,28221508,28221508
"9_PCc_995_Ma_1",10799726,10799726,10799726,10799726
"9_PCp_Ma_1",54213908,54213908,54213908,54213908
"9_PCp_Ma_2",33165700,33165700,33165700,33165700
"9_PCs_Ma_1",32488554,32488554,32488554,32488554
"9_PCs_Ma_2",43319270,43319270,43319270,43319270
"14_245FLc_Ma_L1",4798876,4798876,4798876,4798876
"14_245FLc_Ma_L2",13900354,13900354,13900354,13900354
"14_245FLc_Ma_L3",2145650,2145650,2145650,2145650
"14_245FLm_Ma_L1",11862588,11862588,11862588,11862588
"14_245FLm_Ma_L2",936694,936694,936694,936694
"14_245FLm_Ma_L3",4648942,4648942,4648942,4648942
"14_NCc_Ma_1",2420,2420,2420,2420
"14_NCm_Ma_1",308,308,308,308
"14_NCw_Ma_1",118,118,118,118
"14_PCc_Ma_1",15527852,15527852,15527852,15527852
"14_PCc_Ma_2",20912426,20912426,20912426,20912426
"14_245FLc_Qi_L1",15066578,15066578,15066578,15066578
"14_245FLc_Qi_L2",6558744,6558744,6558744,6558744
"14_245FLc_Qi_L3",3787042,3787042,3787042,3787042
"14_245FLm_Qi_L1",18297770,18297770,18297770,18297770
"14_245FLm_Qi_L2",4254002,4254002,4254002,4254002
"14_245FLm_Qi_L3",10488124,10488124,10488124,10488124
"14_NCc_Qi_1",714992,714992,714992,714992
"14_NCm_Qi_1",894,894,894,894
"14_NCw_Qi_1",1922,1922,1922,1922
"14_PCc_Qi_1",25964790,25964790,25964790,25964790
"14_PCc_Qi_2",12776494,12776494,12776494,12776494
"15_SAFc_Ma_L1",708078,708078,708078,708078
"15_SAFc_Ma_L2",561286,561286,561286,561286
"15_SAFc_Ma_L3",873212,873212,873212,873212
"15_SAFc_Ma_L4",2210912,2210912,2210912,2210912
"15_SAFc_Ma_L5",570108,570108,570108,570108
"15_SAFc_Ma_L6",480692,480692,480692,480692
