"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"GMCF_2615_053",102366,102366,102366,102366
"GMCF_2615_054",2484284,2484284,2484284,2484284
"GMCF_2615_055",114188,114188,114188,114188
"GMCF_2615_057",64894,64894,64894,64894
"GMCF_2615_058",30,30,30,30
"GMCF_2615_059",3412,3412,3412,3412
"GMCF_2615_060",1708834,1708834,1708834,1708834
"GMCF_2615_061",23900984,23900984,23900984,23900984
"GMCF_2615_062",24464702,24464702,24464702,24464702
"GMCF_2615_063",1568090,1568090,1568090,1568090
"GMCF_2615_064",606726,606726,606726,606726
"GMCF_2615_065",2674,2674,2674,2674
"GMCF_2615_066",22896530,22896530,22896530,22896530
"GMCF_2615_068",1584,1584,1584,1584
"GMCF_2615_120",1542,1542,1542,1542
"GMCF_2615_121",8862,8862,8862,8862
"GMCF_2615_122",54754,54754,54754,54754
"GMCF_2615_123",49560,49560,49560,49560
"GMCF_2615_124",3914,3914,3914,3914
"GMCF_2615_125",21774,21774,21774,21774
"GMCF_2615_126",7944,7944,7944,7944
"GMCF_2615_127",1753228,1753228,1753228,1753228
"GMCF_2615_128",276,276,276,276
"GMCF_2615_129",14923200,14923200,14923200,14923200
"GMCF_2615_130",899398,899398,899398,899398
"GMCF_2615_131",71928,71928,71928,71928
"GMCF_2615_132",20328,20328,20328,20328
"GMCF_2615_133",2037826,2037826,2037826,2037826
"GMCF_2615_135",1740,1740,1740,1740
