"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Acidobacteriota",0,0,0,0,0,0,157,0,524,11,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Acidimicrobiia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacteriaceae",54,58,54,5,0,0,2,77,77,111,0,0,133713,0,0,0,0,0,0,0,0,57,0,141,0,0,0,382,0
"Unclassified Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomycetaceae",0,331,0,54,0,0,0,0,70,6,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dermacoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacteriaceae",213,969,410,199,0,12,1018,1795,3161,946,2526,6,576,0,3,2,22,85,5,1,121,240,0,1052,300,50,26,311,4
"Micrococcaceae",0,3,25,1,0,0,36,68,1339,6,99,0,8,0,1,0,5,0,0,9,15,2,0,1933,1,0,2,1,0
"Unclassified Micrococcales",7,30,0,0,0,0,1,22,62,15,1,0,3,0,0,0,0,0,0,17,0,13,0,13,0,0,0,0,0
"Corynebacteriaceae",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,0,11,0,0
"Mycobacteriaceae",0,586,15,9,0,0,74,83,323,44,32,0,13,0,1,0,1,24,2,2,1,6,0,40,6,17,1,2,0
"Nocardiaceae",77,242,168,8,0,2,482,702,719,153,197,17,1379,0,3,64,4,271,0,3,58,50,0,386,89,7,4,129,0
"Unclassified Mycobacteriales",0,27,2,0,0,0,0,2,3,0,0,0,0,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0,0
"Propionibacteriaceae",76,883,87,70,0,28,767,2,90,666,42,12,983,10,2,0,1,924,48,267,24,115,0,90,27,206,25,55,14
