"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Methanobrevibacter smithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Acidobacteriota",0,0,0,0,0,0,157,0,524,11,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Acidimicrobiia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium adolescentis",0,10,0,5,0,0,1,9,9,41,0,0,71171,0,0,0,0,0,0,0,0,0,0,17,0,0,0,178,0
"Unclassified Bifidobacterium",54,48,54,0,0,0,1,68,68,70,0,0,61017,0,0,0,0,0,0,0,0,57,0,124,0,0,0,204,0
"Unclassified Bifidobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces gancidicus",0,305,0,54,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Unclassified Streptomyces",0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Streptomycetaceae",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Brevibacterium",0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unclassified Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacoccus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Dermacoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Microbacterium",47,83,1,92,0,0,62,182,463,4,87,0,15,0,0,0,1,1,0,0,0,2,0,89,77,0,0,0,0
"Unclassified Micrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Micrococcaceae",0,1,0,0,0,0,2,1,18,5,0,0,2,0,0,0,0,0,0,7,13,0,0,4,0,0,1,0,0
"Unclassified Micrococcales",7,30,0,0,0,0,1,22,62,15,1,0,3,0,0,0,0,0,0,17,0,13,0,13,0,0,0,0,0
"Corynebacterium otitidis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"Corynebacterium striatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Corynebacterium",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,0,0
"Unclassified Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium tuberculosis",0,542,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Unclassified Mycobacterium",0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacteroides abscessus",0,0,0,0,0,0,5,44,71,1,0,0,9,0,0,0,1,1,0,0,1,1,0,27,2,0,0,0,0
"Unclassified Mycobacteriaceae",0,2,11,0,0,0,49,0,92,0,9,0,0,0,0,0,0,0,0,1,0,2,0,0,0,13,0,0,0
"Unclassified Nocardia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
