"sample_id","figure_4"
"2_Asc_Re_R_1","4B"
"2_Asc_Re_R_2","4B"
"2_Asc_Re_R_3","4B"
"2_Asc_Re_R_4","4B"
"2_Asm_Re_R_1","4B"
"2_Asm_Re_R_2","4B"
"2_Asm_Re_R_3","4B"
"2_Asm_Re_R_4","4B"
"3_Asc_Re_R_1","4B"
"3_Asc_Re_R_2","4B"
"3_Asc_Re_R_3","4B"
"3_Asc_Re_R_4","4B"
"3_Asm_Re_R_1","4B"
"3_Asm_Re_R_2","4B"
"3_Asm_Re_R_3","4B"
"3_Asm_Re_R_4","4B"
"11_Alp_Re_1","4C"
"11_Alp_Re_2","4C"
"11_Alp_Re_3","4C"
"11_Alp_Re_4","4C"
"11_Als_Re_1","4C"
"11_Als_Re_2","4C"
"11_Als_Re_3","4C"
"11_Als_Re_4","4C"
"11_Asc_Re_1","4B"
"11_Asc_Re_2","4B"
"11_Asc_Re_3","4B"
"11_Asc_Re_4","4B"
"11_Asm_Re_1","4B"
"11_Asm_Re_2","4B"
"11_Asm_Re_3","4B"
"11_Asm_Re_4","4B"
"2_Asc_SHR_R_1","4A"
"2_Asc_SHR_R_2","4A"
"2_Asc_SHR_R_3","4A"
"2_Asm_SHR_R_1","4A"
"2_Asm_SHR_R_2","4A"
"2_Asm_SHR_R_3","4A"
"3_Asc_SHR_R_2","4A"
"3_Asc_SHR_R_3","4A"
"3_Asm_SHR_R_1","4A"
"3_Asm_SHR_R_2","4A"
"3_Asm_SHR_R_3","4A"
"16_Asc_SHR_Ma_1","4A"
"16_Asc_SHR_Ma_2","4A"
"16_Asc_SHR_Ma_3","4A"
"16_Asc_SHR_Ma_4","4A"
"16_Asm_SHR_Ma_1","4A"
"16_Asm_SHR_Ma_2","4A"
"16_Asm_SHR_Ma_3","4A"
"16_Asm_SHR_Ma_4","4A"
"16_Asc_SHR_Qi_1","4A"
"16_Asc_SHR_Qi_2","4A"
"16_Asc_SHR_Qi_3","4A"
"16_Asc_SHR_Qi_4","4A"
"16_Asm_SHR_Qi_1","4A"
"16_Asm_SHR_Qi_2","4A"
"16_Asm_SHR_Qi_3","4A"
"16_Asm_SHR_Qi_4","4A"
